Date,time_delta
2021-02-26,0 days 02:38:18.000000000
2021-02-27,0 days 02:38:12.000000000
2021-02-28,0 days 03:02:50.000000000
2021-03-01,0 days 02:34:58.000000000
2021-03-02,0 days 01:56:14.000000000
2021-03-03,0 days 01:22:48.000000000
2021-03-04,0 days 02:30:45.000000000
2021-03-05,0 days 01:47:23.000000000
2021-03-06,0 days 01:25:35.000000000
2021-03-07,0 days 00:47:25.000000000
2021-03-08,0 days 00:44:34.000000000
2021-03-09,0 days 00:38:43.000000000
2021-03-10,0 days 01:37:50.000000000
2021-03-11,0 days 02:02:23.000000000
2021-03-12,0 days 01:44:07.000000000
2021-03-13,0 days 01:50:39.000000000
2021-03-14,0 days 04:12:28.000000000
2021-03-15,0 days 02:15:05.000000000
2021-03-16,0 days 02:20:28.000000000
2021-03-17,0 days 01:40:35.000000000
2021-03-18,0 days 01:34:57.000000000
2021-03-19,0 days 00:40:40.000000000
